news,target
Վարչապետն ընդդեմ կաթողիկոսի. ինչպես է Փաշինյանի և եկեղեցու հակամարտությունը սպառնում պառակտել հասարակությանը. BBC-ի անդրադարձը,Քաղաքական
Վրաստանի խորհրդարանի մշակույթի հանձնաժողովի նախագահի պատվիրակությունը հարգանքի տուրք է մատուցել Հայոց ցեղասպանության զոհերի հիշատակին,Քաղաքական
Վրաստանը Հայաստանի դարպասն է դեպի Եվրոպա եւ Ռուսաստան. Գոռ Ծառուկյան,Քաղաքական
"Բաքվին Սամվել Կարապետյանի արտահանձնումը ցույց կտա, որ Հայաստանն իսկապես շրջվում է դեպի խաղաղություն՝ գրում է ադրբեջանական մամուլը",Քաղաքական
Իշխանությունը Սամվել Կարապետյանի սեփականությունը խլելու գործընթացը բնութագրելու համար մի գեղեցիկ բառակապակցություն է հորինել՝ «ՀԷՑ-ի ազգայնացում». Էդմոն Մարուքյան,Քաղաքական
Քաղաքական բանտարկյալներ «տնեվորելու»՝ Հանրապետության հարուստ-տխուր ավանդույթը ծաղկման շրջան է թևակոխում․ Րաֆֆի Հովհաննիսյան,Քաղաքական
Իսրայելի հարվածներն առնչվում են այսպես կոչված Զանգեզուրի միջանցքի բացման ու Իրանը մասնատելու ծրագրերի հետ. Ահմադ Քազեմի,Քաղաքական
"«Մեր՝ հարյուրավոր քաղաքացիներ ՌԴ-ում դատվում են, պետք է համարենք միջպետական հարաբերությունների խաթարո՞ւմ»․ Սերգեյ Բագրատյանը՝ Սամվել Կարապետյանի շուրջ կատարվողի մասին",Քաղաքական
"«Մենք ոչ թե կորցրել ենք Լեռնային Ղարաբաղը, մենք գտել ենք Հայաստանի Հանրապետությունը». Նիկոլ Փաշինյան",Քաղաքական
Արցախն Ադրբեջանի կազմում ճանաչելով՝ Նիկոլ Փաշինյանը վերածվել է «ՀՀ լիարժեք վարչապետի»,Քաղաքական
"«Իմ տեղեկություններով՝ այս պահին նման հանդիպում նախատեսված չէ, բայց չեմ կարող դա բացառել»․ Եղոյանը՝ Անկարայում Փաշինյան-Էրդողան-Ալիև հնարավոր հանդիպման մասին",Քաղաքական
"«Ասում եք՝ պատերազմ չի լինելու, էդ Ալիեւն է խոստացե՞լ, կարո՞ղ է վաղը Անկարա գնալը դրա հետ է կապված»․ Արթուր Խաչատրյան",Քաղաքական
